id,name,cityName,stateCode,postalCodeNumber,address,phoneNumber,websiteUrl,orgPackageTypeName,scraped_metro,latitude,longitude,companyPageUrl,logoUrl,google_rating,google_review_count,google_address
154265,Elegant Estate Sales,Fort Lauderdale,FL,33321,,(954) 274-7820,http://www.elegantestatesalesfl.com,Basic,Miami / Fort Lauderdale / West Palm Beach,26.211912,-80.26637,,https://picturescdn.estatesales.net/orglogos/154265/638120414847283818.jpg,5,37,"2201 Prospect Rd #200, Fort Lauderdale, FL 33309, USA"
170018,Miami Vintage 305 LLC,Miami,FL,33177,,(786) 494-7496,,Basic,Miami / Fort Lauderdale / West Palm Beach,25.597877,-80.40353,,,5,31,"2632 SW 137th Ave, Miami, FL 33175, USA"
171599,Golden Estate Sales LLC,Clearwater,FL,33759,,(614) 284-8212,https://goldenestatesales.org/,Gold,Sarasota / Bradenton,27.983288,-82.689934,/companies/FL/Clearwater/33759/171599,https://picturescdn.estatesales.net/orglogos/171599/639068672444285071.jpg,5,29,"610 County St, Somerset, MA 02726, USA"
36344,Iron Horse Trading,Clermont,FL,34711,142 E Phelps St,(352) 557-8039,,Basic,Orlando,28.519622,-81.748256,,,5,27,"201 Railroad Ave, Albany, MN 56307, USA"
144692,Heirloom Liquidators,Sarasota,FL,34231,5652 Swift Road,(941) 726-7829,https://heirloomliquidators.com/online-estate-sale,Gold,Sarasota / Bradenton,27.255856,-82.517414,/companies/FL/Sarasota/34231/144692,https://picturescdn.estatesales.net/orglogos/144692/638164812083994962.jpg,5,26,"5652 Swift Rd, Sarasota, FL 34231, USA"
146276,"ezDownsizing Tampa, LLC",Tampa,FL,33609,6828 S MacDill Ave,(813) 459-8036,https://tampa.ezdownsizing.com/,Basic,Tampa / St. Petersburg,27.942685,-82.523702,,https://picturescdn.estatesales.net/orglogos/146276/637753762685128896.jpg,5,26,"6828 S MacDill Ave, Tampa, FL 33611, USA"
127220,The Great Estate Of Florida,Port Saint Lucie,FL,34984,501 SW Whitmore Dr,(772) 323-8497,,Basic,Port St. Lucie / Fort Pierce,27.253327,-80.332,,,5,25,"4885 N Wickham Rd, Melbourne, FL 32940, USA"
120029,The Great Estate Of Fl,Port Saint Lucie,FL,34984,,(772) 245-0286,,Basic,Port St. Lucie / Fort Pierce,27.253327,-80.332,,,5,25,"4885 N Wickham Rd, Melbourne, FL 32940, USA"
156392,The Resale Project Estate Sales & Antique Store,Fernandina Beach,FL,32034,,(904) 206-6874,,Basic,Jacksonville,30.62019,-81.505612,,https://picturescdn.estatesales.net/orglogos/156392/638258242120704457.jpg,5,25,"626 S 8th St A, D, Fernandina Beach, FL 32034, USA"
33596,"Blue Orchid Estate Sales, LLC",Jupiter,FL,33478,15292 97th Drive N,(561) 339-0381,http://blueorchidestatesales.com,Basic,Miami / Fort Lauderdale / West Palm Beach,26.954231,-80.219606,,//s3.amazonaws.com/pictures.estatesales.net/orglogos/33596/635495926489355718.jpg,5,24,"205 W Shell Point Rd, Ruskin, FL 33570, USA"
145208,Estate Mate,Orlando,FL,32819,,(407) 761-8026,,Basic,Orlando,28.450127,-81.472588,,,5,24,"Office 3 & 4, First Floor, City Business Icon 1, A-Block, New city phase 2 Wah Cantt, Phase 2 New City, Wah, 48000, Pakistan"
8786,Estate Sales of Orlando,Apopka,FL,32712,640 Majestic Oak Drive,(407) 492-0857,http://www.estatesalesoforlando.com,Basic,Orlando,28.731408,-81.507027,,,5,23,"1317 Edgewater Dr, Orlando, FL 32804, USA"
155006,Orlando Florida Estate Sales & Auction Company,Orlando,FL,32837,,(800) 524-1032,,Basic,Orlando,28.39027,-81.439479,,,5,23,"1317 Edgewater Dr, Orlando, FL 32804, USA"
29732,Red Door Estate Sale,Orlando,FL,32853,Po box 533367,(407) 672-3402,,Basic,Orlando,28.5382,-81.3795,,https://picturescdn.estatesales.net/orglogos/29732/637489238224933219.jpg,5,23,"1317 Edgewater Dr, Orlando, FL 32804, USA"
155204,Orlando Estate Liquidators,Sanford,FL,32772,PO BOX 2909,(321) 355-1765,http://www.orlandoestateliquidators.com,Basic,Orlando,28.8005,-81.2734,,https://picturescdn.estatesales.net/orglogos/155204/638182092823508749.jpg,5,23,"1317 Edgewater Dr, Orlando, FL 32804, USA"
165965,Orlando Estate Sale Company,Orlando,FL,32804,"EDGEWATER DRIVE, ORLANDO",(407) 725-5320,https://www.orlandoestatesalecompany.com/,Bronze,Orlando,28.580513,-81.39597,/companies/FL/Orlando/32804/165965,https://picturescdn.estatesales.net/orglogos/165965/638971950172422983.jpg,5,23,"1317 Edgewater Dr, Orlando, FL 32804, USA"
136880,Auction Exchange USA,Nokomis,FL,34275,625 Tamiami Trail N Ste E,(941) 544-8640,http://www.auctionexchangeusa.com,Gold,Sarasota / Bradenton,27.150252,-82.429542,/companies/FL/Nokomis/34275/136880,https://picturescdn.estatesales.net/orglogos/136880/637094424362077594.jpg,5,22,"625 N Tamiami Trl STE E, Nokomis, FL 34275, USA"
160010,Auction Wallstreet LLC,Miami,FL,33162,2010 NE 164TH ST,(305) 676-2137,http://www.auctionwallstreet.com,Gold,Miami / Fort Lauderdale / West Palm Beach,25.928542,-80.178882,/companies/FL/Miami/33162/160010,https://picturescdn.estatesales.net/orglogos/160010/638983392474390236.jpg,5,21,"2010 NE 164th St, North Miami Beach, FL 33162, USA"
28457,The Packing House Auction Company,Mc Intosh,FL,32664,22030 Hwy 441 N,(352) 591-0202,,Basic,Ocala,29.441088,-82.221224,,,5,20,"1255 S Dora Blvd, Tavares, FL 32778, USA"
21725,Southern Auction Company,Lake Placid,FL,33852,141 Tower St.,(863) 227-7598,,Basic,Sebring,27.270801,-81.322933,,,5,19,"1200 Fort St, Barling, AR 72923, USA"
25349,"Love It Again Home Decor & More, LLC",Lake Mary,FL,32746,870 South Sun Drive,(407) 805-0808,,Basic,Orlando,28.761566,-81.353668,,,5,19,"204 S Jefferson Ave, West Jefferson, NC 28694, USA"
22793,Interiors For Seniors Estate Sales,Apopka,FL,32712,2102 Palm Vista Drive,(321) 279-3301,http://interiorsforseniors.com,Basic,Orlando,28.731408,-81.507027,,https://picturescdn.estatesales.net/orglogos/22793/637121391200681360.jpg,5,19,"44 SE 1st Ave suite 101, Ocala, FL 34471, USA"
11966,Transitions Estate Sales of Lake County,Leesburg,FL,34788,823 Dundee Car.,(904) 707-1107,,Bronze,Orlando,28.884399,-81.794694,/companies/FL/Leesburg/34788/11966,,5,19,"44 SE 1st Ave suite 101, Ocala, FL 34471, USA"
159833,Magnolia Move Managers LLC,Ponte Vedra,FL,32081,37 Cornwall Dr,(904) 522-5653,https://www.magnoliamovemanagers.com/,Bronze,Jacksonville,30.126725,-81.432476,/companies/FL/Ponte-Vedra/32081/159833,https://picturescdn.estatesales.net/orglogos/159833/638458952614701807.jpg,5,18,"425 Town Plaza Ave, Ponte Vedra Beach, FL 32081, USA"
159695,Capo Estate Sales And Clean Outs,Melbourne,FL,32904,1872 Sorento Circle,(321) 326-3200,http://www.capoestatesales.com,Gold,Melbourne,28.079396,-80.753872,/companies/FL/Melbourne/32904/159695,https://picturescdn.estatesales.net/orglogos/159695/638454265216524939.jpg,5,16,"1872 Sorento Cir, West Melbourne, FL 32904, USA"
162791,Mama Roses Treasure LLC,Williston,FL,32696,,(352) 246-5668,http://www.mamarosestreasure.com,Silver,Ocala,29.394132,-82.470256,/companies/FL/Williston/32696/162791,https://picturescdn.estatesales.net/orglogos/162791/638519185324597331.jpg,5,16,"345 SW 7th Ave, Williston, FL 32696, USA"
163490,Jen's Why Not Shoppe LLC,Melbourne,FL,32935,,(321) 368-0483,,Basic,Melbourne,28.149498,-80.644461,,,5,15,"3423 W Bay to Bay Blvd, Tampa, FL 33629, USA"
35804,Bradpeele Estate Sales,Saint Petersburg,FL,33703,4730 Dr MLK Jr Street N,(727) 252-6271,http://www.estatesales-appraisals.com,Basic,Tampa / St. Petersburg,27.814576,-82.622648,,https://picturescdn.estatesales.net/orglogos/35804/636879310092139110.jpg,5,14,"4730 Dr M.L.K. Jr St N, St. Petersburg, FL 33703, USA"
140021,Blue Canoe Estate Sales & Liquidations,Brooksville,FL,34613,7464 B W Stevenson Rd,(352) 942-3660,,Basic,Tampa / St. Petersburg,28.555472,-82.524481,,https://picturescdn.estatesales.net/orglogos/140021/636982904942644673.jpg,5,14,"15087 Brice Dr, Brooksville, FL 34601, USA"
4553,Blue Hill Estate Sales LLC,Orlando,FL,32814,PO Box 141054,(407) 923-9050,http://www.bluehillestatesales.com,Basic,Orlando,28.568006,-81.32839,,//s3.amazonaws.com/pictures.estatesales.net/orglogos/4553/635771296886574083.jpg,5,14,"15087 Brice Dr, Brooksville, FL 34601, USA"
166406,"Blue Sky Estate Sales, LLC",Winter Park,FL,32792,,(407) 230-7501,https://www.blueskyestatesales.com/,Basic,Orlando,28.608664,-81.298946,,https://picturescdn.estatesales.net/orglogos/166406/638771559765468375.jpg,5,14,"15087 Brice Dr, Brooksville, FL 34601, USA"
158411,Long Lake Art,Sarasota,FL,34237,925 North Lime Ave.,(315) 382-3072,https://longlake.art/,Basic,Sarasota / Bradenton,27.337582,-82.514076,,https://picturescdn.estatesales.net/orglogos/158411/638776770735102423.jpg,5,13,"9947 N Long Lake Rd, Traverse City, MI 49685, USA"
26465,Tampa Bay Estate Sales,Largo,FL,33774,,(206) 682-7288,,Basic,Tampa / St. Petersburg,27.883014,-82.82732,,,5,12,"3225 S MacDill Ave, Tampa, FL 33629, USA"
157160,Quirk & Main Estate Sales,Tampa,FL,33611,,(813) 252-4611,,Basic,Tampa / St. Petersburg,27.886668,-82.510692,,,5,12,"3225 S MacDill Ave, Tampa, FL 33629, USA"
148802,Beantown Estate Sales,Tampa,FL,33607,,(813) 557-2964,,Basic,Tampa / St. Petersburg,27.972833,-82.556296,,,5,12,"3225 S MacDill Ave, Tampa, FL 33629, USA"
158618,Palm Tree Estate Sales,Tampa,FL,33629,,(813) 416-2941,,Basic,Tampa / St. Petersburg,27.921808,-82.508953,,,5,12,"3225 S MacDill Ave, Tampa, FL 33629, USA"
21845,Elizabeth Love Designs & Estate Sales,Tampa,FL,33606,812 South Packwood Avenue ,(813) 760-0664,,Basic,Tampa / St. Petersburg,27.930168,-82.467877,,,5,12,"3225 S MacDill Ave, Tampa, FL 33629, USA"
6473,Tampa Estate Sales,Tampa,FL,33629,"3225 South MacDill Ave, Suite 129-289",(813) 416-1360,http://www.TampaEstateSales.com,Basic,Tampa / St. Petersburg,27.921808,-82.508953,,https://picturescdn.estatesales.net/orglogos/6473/635961721670910502.jpg,5,12,"3225 S MacDill Ave, Tampa, FL 33629, USA"
19865,Estate Sale Of Tampa Bay,Tampa,FL,33619,7006 50th ave south ,(813) 300-0804,http://estatesalesoftampabayfl.com/,Basic,Tampa / St. Petersburg,27.919386,-82.380352,,,5,12,"3225 S MacDill Ave, Tampa, FL 33629, USA"
162611,Estate Sales With Rebecca,Lake Worth,FL,33463,6214 SAND HILLS CIRCLE,(561) 901-9026,http://www.estatesaleswithrebecca.com,Basic,Miami / Fort Lauderdale / West Palm Beach,26.595642,-80.128972,,https://picturescdn.estatesales.net/orglogos/162611/638537318665763324.jpg,5,10,"6214 Sand Hills Cir, Lake Worth Beach, FL 33463, USA"
169805,America's Trusted Estate Sales,Hudson,FL,34669,,(541) 844-9252,,Basic,Tampa / St. Petersburg,28.360606,-82.617173,,https://picturescdn.estatesales.net/orglogos/169805/638954680418974312.jpg,5,10,"1609 NW 24th St, Gainesville, FL 32605, USA"
26762,Estate Sales Service Professionals,Gainesville,FL,32608,,(352) 871-4291,http://gainesvilleestatesales.com,Basic,Gainesville,29.586076,-82.403135,,https://picturescdn.estatesales.net/orglogos/26762/638287896558324440.jpeg,5,10,"1609 NW 24th St, Gainesville, FL 32605, USA"
36311,Great American Estate Sales and Services of North Florida,Gainesville,FL,32605,1609 NW 24th St.,(352) 281-1822,http://www.estatesalesnf.com/,Bronze,Gainesville,29.681288,-82.385641,/companies/FL/Gainesville/32605/36311,https://picturescdn.estatesales.net/orglogos/36311/636211706125118608.jpg,5,10,"1609 NW 24th St, Gainesville, FL 32605, USA"
154322,Dothan Mercantile,Dothan,AL,36301,1524 South Oates Street,(334) 446-0749,http://www.dothanmercantile.com,Gold,Panama City,31.146161,-85.412448,/companies/AL/Dothan/36301/154322,https://picturescdn.estatesales.net/orglogos/154322/638124451411608775.jpg,5,10,"1524 S Oates St #1514, Dothan, AL 36301, USA"
162020,Florida Art Auction,Vero Beach,FL,32960,,(772) 349-2632,,Basic,Sebastian / Vero Beach,27.641443,-80.402203,,,5,9,"531 S US Hwy 1 Unit A1, Fort Pierce, FL 34950, USA"
138377,Southern Transitions,Jacksonville,FL,32225,,(904) 803-9495,http://www.southerntransitionsjax.com,Basic,Jacksonville,30.3539,-81.499068,,https://picturescdn.estatesales.net/orglogos/138377/636852380577569290.jpg,5,9,"961687 Gateway Blvd STE 201L, Fernandina Beach, FL 32034, USA"
23384,The Brothers Gallery,Mobile,AL,36689,3750 Government Blvd,(251) 660-0020,http://www.thebrothersgallery.com,Silver,Pensacola,30.6945,-88.0431,/companies/AL/Mobile/36689/23384,https://picturescdn.estatesales.net/orglogos/23384/636801687874889811.jpg,5,9,"3750 Government Blvd, Mobile, AL 36693, USA"
149054,Auction In The Keys LLC,Summerland Key,FL,33042,716 E Caribbean Dr.,(305) 735-2515,http://www.auctioninthekeys.com,Basic,Key West / Marathon,24.67502,-81.48491,,https://picturescdn.estatesales.net/orglogos/149054/637819180950849282.jpg,5,8,"716 Caribbean Dr E, Summerland Key, FL 33042, USA"
26021,Fifth Avenue Estate Liquidation LLC,New Port Richey,FL,34652,3954 Marine Parkway,(727) 645-3029,http://www.fifthavenueestate.com,Basic,Tampa / St. Petersburg,28.239571,-82.739948,,,5,8,"Hernando Beach, FL 34607, USA"
28907,Tender Care Move Management,Tampa,FL,33647,5125 Palm Springs Blvd #4207,(813) 784-0235,http://www.tendercaretampa.com,Basic,Tampa / St. Petersburg,28.123308,-82.351912,,//s3.amazonaws.com/pictures.estatesales.net/orglogos/28907/635495926374052662.jpg,5,8,"5125 Palm Springs Blvd UNIT 4207, Tampa, FL 33647, USA"
133661,Tk Estate Liquidations,Spring Hill,FL,34607,Hernando Beach,(352) 667-1727,http://www.tkestateliquidations.com,Bronze,Tampa / St. Petersburg,28.505764,-82.628232,/companies/FL/Spring-Hill/34607/133661,https://picturescdn.estatesales.net/orglogos/133661/636478158885125031.jpg,5,8,"Hernando Beach, FL 34607, USA"
61388,American Estate Sales LLC,Orlando,FL,32804,2509 HELEN AVE,(407) 810-2399,http://www.estatesales-orlando.com,Basic,Orlando,28.580513,-81.39597,,//s3.amazonaws.com/pictures.estatesales.net/orglogos/61388/635653563608773752.jpg,5,8,"2509 Helen Ave, Orlando, FL 32804, USA"
134741,Preloved Treasures Estate Sale,Lynn Haven,FL,32444,,(850) 428-0178,,Basic,Panama City,30.230602,-85.64364,,,5,8,"504 5th St S, Columbus, MS 39701, USA"
131312,Anita's Antiques & Estate Sales,Jacksonville,FL,32224,13810 Sutton Park Dr N,(904) 477-6955,http://anitasantiques.com,Bronze,Jacksonville,30.287288,-81.473498,/companies/FL/Jacksonville/32224/131312,https://picturescdn.estatesales.net/orglogos/131312/636913755349114076.jpg,5,8,"1015 Atlantic Blvd Suite 465, Atlantic Beach, FL 32233, USA"
127121,Wells Auctioneers,Fort Meade,FL,33841,,(863) 224-5411,,Basic,Wauchula,27.737151,-81.779919,,,5,7,"730 County Rd 950 W, Linton, IN 47441, USA"
26162,Taylor Made Estate Sales,North Palm Beach,FL,33408,203 D Sea Oats Dr,(954) 816-9904,,Basic,Miami / Fort Lauderdale / West Palm Beach,26.848664,-80.058839,,//s3.amazonaws.com/pictures.estatesales.net/orglogos/26162/635747471870975991.jpg,5,6,"11227 Royal Palm Beach Blvd Suite 235, Royal Palm Beach, FL 33411, USA"
157652,Palm Beach Estate Sale Liquidators/Interior Designers of Palm Beach,West Palm Beach,FL,33409,,(720) 985-6327,,Basic,Miami / Fort Lauderdale / West Palm Beach,26.72046,-80.091082,,,5,6,"11227 Royal Palm Beach Blvd Suite 235, Royal Palm Beach, FL 33411, USA"
148682,Estate Sales By Rajean,West Palm Beach,FL,33411,1127 Royal Palm Beach Blvd Apt #235,(561) 248-1222,http://www.EstateSalesByRajean.com/,Basic,Miami / Fort Lauderdale / West Palm Beach,26.709696,-80.202463,,https://picturescdn.estatesales.net/orglogos/148682/637790069777422256.jpg,5,6,"11227 Royal Palm Beach Blvd Suite 235, Royal Palm Beach, FL 33411, USA"
132452,Palm Beach Estate Sales By Nancy,West Palm Beach,FL,33405,,(561) 818-3171,http://www.palmbeachestatesalesbynancy.com,Basic,Miami / Fort Lauderdale / West Palm Beach,26.667478,-80.059131,,,5,6,"11227 Royal Palm Beach Blvd Suite 235, Royal Palm Beach, FL 33411, USA"
33680,West Palm Beach Estate Sales,Loxahatchee,FL,33470,14963 19th Street North,(561) 301-3943,,Basic,Miami / Fort Lauderdale / West Palm Beach,26.777868,-80.43183,,,5,6,"11227 Royal Palm Beach Blvd Suite 235, Royal Palm Beach, FL 33411, USA"
156620,Three Ladies Estate Sale LLC,Miami,FL,33157,19810 SW 88 CT ,(786) 317-6040,https://threeladiesestatesale.com/,Basic,Miami / Fort Lauderdale / West Palm Beach,25.60441,-80.335216,,https://picturescdn.estatesales.net/orglogos/156620/638290083166016838.jpeg,5,6,"114 S Waco St, Hillsboro, TX 76645, USA"
153650,Goldys Attic & Estate Liquidations,Stuart,FL,34994,2885 SE Federal Hwy,(561) 202-5768,,Basic,Port St. Lucie / Fort Pierce,27.201881,-80.258428,,https://picturescdn.estatesales.net/orglogos/153650/638066700227128481.jpg,5,6,"of Lockhardt Street North side of Flea Market, 2855 SE Federal Hwy G10 off, Stuart, FL 34997, USA"
155240,A+ Estate Sales & Real Estate Services,Orlando,FL,32809,"925 NELA AVE., ORLANDO, FLA",(407) 927-0050,,Basic,Orlando,28.462617,-81.390323,,https://picturescdn.estatesales.net/orglogos/155240/638181647915932404.jpg,5,6,"1006 W Fairbanks Ave, Winter Park, FL 32789, USA"
169595,Amy’s Luxury Estate Sales,Winter Park,FL,32789,1006 W Fairbanks Ave ,(407) 907-7316,https://amysluxuryestatesales.org/?fbclid=IwRlRTSAM6ozhleHRuA2FlbQIxMAABHu4TagZIrvDOk3XdnncKv6_Od0K2VyXWz-jQsuf-w9FaeAgnXErEXD-Be_9b_aem_hdpvIz98fsaLoWC-AkElWw,Basic,Orlando,28.60018,-81.358351,,https://picturescdn.estatesales.net/orglogos/169595/638939124353882283.jpg,5,6,"1006 W Fairbanks Ave, Winter Park, FL 32789, USA"
168938,Samantha’s Estate Sale,Winter Park,FL,32792,,(407) 461-3394,,Basic,Orlando,28.608664,-81.298946,,,5,6,"1006 W Fairbanks Ave, Winter Park, FL 32789, USA"
151052,Cozy May Estate Sales,Deland,FL,32724,,(386) 301-9199,,Basic,Daytona Beach,29.095463,-81.23345,,https://picturescdn.estatesales.net/orglogos/151052/638472157989664920.jpg,5,6,"1006 W Fairbanks Ave, Winter Park, FL 32789, USA"
142457,Prime Auction Solutions,West Palm Beach,FL,33411,2054 Vista View Parkway,(703) 889-8949,https://www.primeauctionsolutions.com/,Basic,Miami / Fort Lauderdale / West Palm Beach,26.709696,-80.202463,,https://picturescdn.estatesales.net/orglogos/142457/637222966049486575.jpg,5,5,"250 S Australian Ave Suite 1201, West Palm Beach, FL 33401, USA"
161780,Alex Slato Auctions,Miami,FL,33127,,(562) 225-6013,,Basic,Miami / Fort Lauderdale / West Palm Beach,25.813794,-80.205714,,,5,5,"710 NW 55th St, Miami, FL 33127, USA"
25190,Complete Estate Liquidation,Palm Harbor,FL,34684,"2664 Pine Ridge Way S, F1",(727) 510-5085,http://celsales.com,Silver,Tampa / St. Petersburg,28.085997,-82.723632,/companies/FL/Palm-Harbor/34684/25190,,5,5,"33333 US Hwy 19 N, Palm Harbor, FL 34684, USA"
152021,Salt Sales,Merritt Island,FL,32952,,(321) 704-3599,,Silver,Melbourne,28.275615,-80.656562,/companies/FL/Merritt-Island/32952/152021,https://picturescdn.estatesales.net/orglogos/152021/638139720057817743.jpg,5,5,"1353 N Courtenay Pkwy Suite R&S, Merritt Island, FL 32953, USA"
140693,Complete Estate Liquidations,Oviedo,FL,32765,,(407) 529-6952,,Basic,Orlando,28.67714,-81.203574,,,5,5,"33333 US Hwy 19 N, Palm Harbor, FL 34684, USA"
13292,Inspired Home,Winter Park,FL,32789,910 South Orlando Avenue,(407) 339-4747,,Basic,Orlando,28.60018,-81.358351,,,5,5,"12361 Easha Blvd, Punta Gorda, FL 33955, USA"
150455,Harlow Online Estate Sale Auctions,Daytona Beach,FL,32117,866 Mason Ave. Ste 1,(386) 265-0021,http://www.harlowonlineauctions.com,Basic,Daytona Beach,29.235916,-81.057494,,https://picturescdn.estatesales.net/orglogos/150455/637915063473551168.jpg,5,5,"866 Mason Ave #1/2, Daytona Beach, FL 32117, USA"
135704,"Attic Heirlooms, LLC",Tallahassee,FL,32311,"1898 Merchants Row Blvd, unit 18",(850) 661-6811,,Basic,Tallahassee,30.363739,-84.163013,,,5,5,"30 Big John Dr, Greenville, KY 42345, USA"
161648,Wilton Art,Fort Lauderdale,FL,33334,,(954) 295-5033,,Basic,Miami / Fort Lauderdale / West Palm Beach,26.18409,-80.134724,,,5,4,"1430 NE 26th St, Wilton Manors, FL 33305, USA"
17273,Armando Perera Auctions,Hialeah,FL,33014,7475 W 20 Ave,(305) 822-5000,http://apamiami.com,Basic,Miami / Fort Lauderdale / West Palm Beach,25.904766,-80.300764,,,5,4,"7475 W 20th Ave, Hialeah, FL 33014, USA"
5381,"Florida Salvage, Inc.",Fort Lauderdale,FL,33311,719 Nw 6th Avenue (By Appointment),(954) 347-6280,http://www.floridasalvage.com,Basic,Miami / Fort Lauderdale / West Palm Beach,26.143764,-80.17348,,,5,4,"Fort Lauderdale, FL 33334, USA"
27206,Richard Stedman Estate Services LLC,Tampa,FL,33606,Mail and Shipping 301 W. Platt St. #87,(727) 515-5985,http://www.museumappraisers.com,Gold,Tampa / St. Petersburg,27.930168,-82.467877,/companies/FL/Tampa/33606/27206,https://picturescdn.estatesales.net/orglogos/27206/636296368732539467.jpg,5,4,"By Appt, 301 W Platt St Ste 87, Tampa, FL 33606, USA"
37391,Mace's Stuff Estate Sales,Wesley Chapel,FL,33545,,(813) 406-1014,http://macesstuffestatesales.com/,Basic,Tampa / St. Petersburg,28.265774,-82.294969,,https://picturescdn.estatesales.net/orglogos/37391/638936335890132855.jpg,5,4,"38 Center St, Wallingford, CT 06492, USA"
24749,"Florida Home Estate Sales, LLC",Clermont,FL,34711,13219 Anderson Hill Rd,(352) 552-7495,http://floridahomeestatesales.com,Basic,Orlando,28.519622,-81.748256,,//s3.amazonaws.com/pictures.estatesales.net/orglogos/24749/635857290372510580.jpg,5,4,"108 Kingsley Ave Suite 206, Orange Park, FL 32073, USA"
17948,JGS Auctions/Estate Sales,Saint Augustine,FL,32084,St Augustine ,(904) 982-1382,,Basic,Palm Coast,29.900382,-81.347082,,,5,4,"22 Comares Ave UNIT 2A, St. Augustine, FL 32080, USA"
127370,Dc Estate Sales,Saint Augustine,FL,32086,,(904) 679-2567,http://www.dcestatesales.net,Basic,Palm Coast,29.761523,-81.296262,,,5,4,"22 Comares Ave UNIT 2A, St. Augustine, FL 32080, USA"
20240,St. Augustine Auction and Estate Sale Services,Saint Augustine,FL,32080,"22 Comares Ave, Suite #2A",(904) 344-3237,http://www.staugustinestatesales.com,Silver,Palm Coast,29.783594,-81.260042,/companies/FL/Saint-Augustine/32080/20240,https://picturescdn.estatesales.net/orglogos/20240/638974897807000542.jpg,5,4,"22 Comares Ave UNIT 2A, St. Augustine, FL 32080, USA"
130280,New Leaf Estate Sales,Jacksonville,FL,32225,,(904) 333-3272,http://www.newleafsales.com,Basic,Jacksonville,30.3539,-81.499068,,https://picturescdn.estatesales.net/orglogos/130280/636332351947006283.jpg,5,4,"2100 Brown Ave Suite J, Cookeville, TN 38501, USA"
161027,Minerva Gallery,Fort Lauderdale,FL,33312,,(719) 646-3782,,Basic,Miami / Fort Lauderdale / West Palm Beach,26.084586,-80.177016,,,5,3,"Grand Hotel Sofia, Sofia Center, ul. ""General Gurko"" 1, 1000 Sofia, Bulgaria"
168734,Island Time Estate Sales,Burlington,WI,53105,,(262) 206-5603,,Gold,Fort Myers / Cape Coral,42.63477,-88.276593,/companies/WI/Burlington/53105/168734,https://picturescdn.estatesales.net/orglogos/168734/638893103948677782.jpg,5,3,"8035 Fish Hatchery Rd, Burlington, WI 53105, USA"
